ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,month,month_name,day,hour
14084104,JK116420,2026-01-14 22:10:00,091XX S ADA ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,2222,22,21.0,73.0,08A,1168933.0,1844190.0,2026,01/22/2026 03:42:43 PM,41.727971783,-87.656759691,"(41.727971783, -87.656759691)",1,January,Wednesday,22
14083804,JK116019,2026-01-14 21:30:00,021XX N LAVERGNE AVE,1242,DECEPTIVE PRACTICE,COMPUTER FRAUD,APARTMENT,False,False,2522,25,26.0,19.0,11,1142710.0,1913741.0,2026,01/22/2026 03:42:43 PM,41.919355699,-87.75109413,"(41.919355699, -87.75109413)",1,January,Wednesday,21
14083905,JK115959,2026-01-14 20:30:00,047XX S FORRESTVILLE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,False,223,2,3.0,38.0,08A,1180726.0,1873728.0,2026,01/22/2026 03:42:43 PM,41.808764591,-87.612653394,"(41.808764591, -87.612653394)",1,January,Wednesday,20
14083487,JK115688,2026-01-14 18:15:00,064XX W DIVERSEY AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,SMALL RETAIL STORE,False,False,2512,25,36.0,19.0,08A,1132803.0,1917907.0,2026,01/22/2026 03:42:43 PM,41.930966504,-87.78739692,"(41.930966504, -87.78739692)",1,January,Wednesday,18
14086210,JK119129,2026-01-14 16:00:00,105XX S NORMAL AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,2233,22,21.0,49.0,08A,1174824.0,1834970.0,2026,01/22/2026 03:42:43 PM,41.702541716,-87.63545369,"(41.702541716, -87.63545369)",1,January,Wednesday,16
14083136,JK114899,2026-01-14 11:22:00,055XX N WINTHROP AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,False,2023,20,48.0,77.0,08A,1167870.0,1936921.0,2026,01/22/2026 03:42:43 PM,41.982456621,-87.657981882,"(41.982456621, -87.657981882)",1,January,Wednesday,11
14083137,JK114913,2026-01-14 11:14:00,076XX S INGLESIDE AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,False,False,624,6,8.0,69.0,11,1183887.0,1854522.0,2026,01/22/2026 03:42:43 PM,41.755988309,-87.601659068,"(41.755988309, -87.601659068)",1,January,Wednesday,11
14083662,JK114684,2026-01-14 09:25:00,017XX W FOSTER AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,COMMERCIAL / BUSINESS OFFICE,False,False,2012,20,40.0,77.0,11,1163875.0,1934583.0,2026,01/22/2026 03:42:43 PM,41.976126563,-87.672740787,"(41.976126563, -87.672740787)",1,January,Wednesday,9
14083024,JK114417,2026-01-14 07:50:00,086XX S DANTE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,True,412,4,8.0,45.0,08A,1187373.0,1848068.0,2026,01/22/2026 03:42:43 PM,41.738195836,-87.589088405,"(41.738195836, -87.589088405)",1,January,Wednesday,7
14084146,JK116440,2026-01-14 07:29:00,020XX W BIRCHWOOD AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,2424,24,49.0,1.0,08A,1161210.0,1949800.0,2026,01/22/2026 03:42:43 PM,42.017938476,-87.682115453,"(42.017938476, -87.682115453)",1,January,Wednesday,7
